code,country,partner_country,rel_import_change,date
BGD,Bangladesh(BGD),IDN,2.524679481,2/4/2025
BGD,Bangladesh(BGD),THA,3.687734917,2/4/2025
BGD,Bangladesh(BGD),NZL,6.699683823,2/4/2025
BGD,Bangladesh(BGD),MMR,6.900671868,2/4/2025
BGD,Bangladesh(BGD),MEX,24.32432538,2/4/2025
BGD,Bangladesh(BGD),CAN,36.28155575,2/4/2025
BLR,Belarus(BLR),IND,-4.756776802,2/4/2025
BLR,Belarus(BLR),USA,-3.894101957,2/4/2025
BLR,Belarus(BLR),KHM,-3.393286113,2/4/2025
BLR,Belarus(BLR),LAO,-2.966429239,2/4/2025
BLR,Belarus(BLR),GBR,-2.868725722,2/4/2025
BLR,Belarus(BLR),AGO,-1.500091876,2/4/2025
BLR,Belarus(BLR),COL,-1.080156553,2/4/2025
BLR,Belarus(BLR),NOR,-0.843310707,2/4/2025
BLR,Belarus(BLR),UKR,-0.8339294,2/4/2025
BLR,Belarus(BLR),NGA,-0.618502092,2/4/2025
BLR,Belarus(BLR),CMR,-0.589284147,2/4/2025
BLR,Belarus(BLR),CHN,-0.518884245,2/4/2025
BLR,Belarus(BLR),STP,-0.250306653,2/4/2025
BLR,Belarus(BLR),ISR,-0.23188702,2/4/2025
BLR,Belarus(BLR),CIV,-0.111273725,2/4/2025
BLR,Belarus(BLR),BLR,-0.018889407,2/4/2025
BLR,Belarus(BLR),RUS,0.0329957,2/4/2025
BLR,Belarus(BLR),JOR,0.034144377,2/4/2025
BLR,Belarus(BLR),KAZ,0.111327877,2/4/2025
BLR,Belarus(BLR),CHE,0.165107572,2/4/2025
BLR,Belarus(BLR),ISL,0.178443528,2/4/2025
BLR,Belarus(BLR),HKG,0.199909152,2/4/2025
BLR,Belarus(BLR),CRI,0.209237052,2/4/2025
BLR,Belarus(BLR),TUN,0.245067996,2/4/2025
BLR,Belarus(BLR),EU,0.297161356,2/4/2025
BLR,Belarus(BLR),JPN,0.298797462,2/4/2025
BLR,Belarus(BLR),COD,0.300147971,2/4/2025
BLR,Belarus(BLR),EGY,0.312901488,2/4/2025
BLR,Belarus(BLR),PAK,0.32779852,2/4/2025
BLR,Belarus(BLR),ROW,0.33090316,2/4/2025
